2023-05-29 22:13:33,764 | INFO | Performing Forward Selection with ratio of 0.5500000000000002
2023-05-29 22:13:33,765 | INFO | ---------------------------------------------------

2023-05-30 01:23:47,976 | INFO | Forward Selection Finished.
2023-05-30 01:23:47,977 | INFO | Beat Feature Count:314
2023-05-30 01:23:47,977 | INFO | -----------------------------
2023-05-30 15:36:54,029 | INFO | Performing operations for SVC with RBF Kernel:
2023-05-30 15:36:54,029 | INFO | -------------------------------------------

2023-05-30 15:36:54,030 | INFO | Baseline hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-30 15:36:54,030 | INFO | -------------------------------------------------------------------

2023-05-30 15:36:54,030 | INFO | GridSearchCV Starting:
2023-05-30 15:36:54,031 | INFO | ----------------------

2023-05-30 15:39:30,067 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.1}
2023-05-30 15:39:30,068 | INFO | ----------------------------------------

2023-05-30 15:39:30,529 | INFO | PCA Starting PCA
2023-05-30 15:39:30,529 | INFO | --------------------------

2023-05-30 15:39:30,618 | INFO | Selecting 71 principal component making up 75% of the variance:

2023-05-30 15:39:30,619 | INFO | -----------------------------------------------------------------------

2023-05-30 15:39:30,621 | INFO | PCA with 75% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-30 15:39:30,621 | INFO | -------------------------------------------------------------------

2023-05-30 15:39:30,622 | INFO | GridSearchCV Starting:
2023-05-30 15:39:30,622 | INFO | ----------------------

2023-05-30 15:40:22,854 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}
2023-05-30 15:40:22,855 | INFO | ----------------------------------------

2023-05-30 15:40:22,990 | INFO | Selecting 95 principal component making up 80% of the variance:

2023-05-30 15:40:22,991 | INFO | -----------------------------------------------------------------------

2023-05-30 15:40:22,992 | INFO | PCA with 80% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-30 15:40:22,993 | INFO | -------------------------------------------------------------------

2023-05-30 15:40:22,994 | INFO | GridSearchCV Starting:
2023-05-30 15:40:22,994 | INFO | ----------------------

2023-05-30 15:41:20,040 | INFO | Best parameter set: {'C': 16, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}
2023-05-30 15:41:20,041 | INFO | ----------------------------------------

2023-05-30 15:41:20,220 | INFO | Selecting 125 principal component making up 85% of the variance:

2023-05-30 15:41:20,220 | INFO | -----------------------------------------------------------------------

2023-05-30 15:41:20,222 | INFO | PCA with 85% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-30 15:41:20,223 | INFO | -------------------------------------------------------------------

2023-05-30 15:41:20,223 | INFO | GridSearchCV Starting:
2023-05-30 15:41:20,224 | INFO | ----------------------

2023-05-30 15:42:23,224 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}
2023-05-30 15:42:23,224 | INFO | ----------------------------------------

2023-05-30 15:42:23,424 | INFO | Selecting 166 principal component making up 90% of the variance:

2023-05-30 15:42:23,425 | INFO | -----------------------------------------------------------------------

2023-05-30 15:42:23,426 | INFO | PCA with 90% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-30 15:42:23,426 | INFO | -------------------------------------------------------------------

2023-05-30 15:42:23,427 | INFO | GridSearchCV Starting:
2023-05-30 15:42:23,427 | INFO | ----------------------

2023-05-30 15:43:35,980 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2023-05-30 15:43:35,980 | INFO | ----------------------------------------

2023-05-30 15:43:36,258 | INFO | Selecting 231 principal component making up 95% of the variance:

2023-05-30 15:43:36,259 | INFO | -----------------------------------------------------------------------

2023-05-30 15:43:36,260 | INFO | PCA with 95% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-30 15:43:36,261 | INFO | -------------------------------------------------------------------

2023-05-30 15:43:36,261 | INFO | GridSearchCV Starting:
2023-05-30 15:43:36,261 | INFO | ----------------------

2023-05-30 15:46:08,607 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2023-05-30 15:46:08,607 | INFO | ----------------------------------------

2023-05-30 15:46:09,009 | INFO | Selecting 572 principal component making up 100% of the variance:

2023-05-30 15:46:09,009 | INFO | -----------------------------------------------------------------------

2023-05-30 15:46:09,012 | INFO | PCA with 100% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-30 15:46:09,012 | INFO | -------------------------------------------------------------------

2023-05-30 15:46:09,012 | INFO | GridSearchCV Starting:
2023-05-30 15:46:09,013 | INFO | ----------------------

2023-05-30 15:48:51,368 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2023-05-30 15:48:51,368 | INFO | ----------------------------------------

2023-05-30 15:48:51,942 | INFO | Forward Selection Starting
2023-05-30 15:48:51,942 | INFO | --------------------------

2023-05-30 15:48:51,943 | INFO | Performing Forward Selection with ratio of 0.05
2023-05-30 15:48:51,943 | INFO | ---------------------------------------------------

2023-05-30 15:52:55,674 | INFO | Performing Forward Selection with ratio of 0.15000000000000002
2023-05-30 15:52:55,674 | INFO | ---------------------------------------------------

2023-05-30 16:05:44,634 | INFO | Performing Forward Selection with ratio of 0.25000000000000006
2023-05-30 16:05:44,635 | INFO | ---------------------------------------------------

